ltable_id,rtable_id,label
A_730,B_775,0
A_670,B_820,0
A_497,B_239,0
A_644,B_299,0
A_464,B_32,0
A_855,B_1061,0
A_671,B_817,0
A_255,B_871,1
A_328,B_302,0
A_345,B_874,0
A_466,B_579,0
A_190,B_34,0
A_1021,B_17,0
A_719,B_798,0
A_519,B_399,0
A_675,B_1021,0
A_14,B_517,0
A_647,B_1074,0
A_345,B_653,0
A_993,B_419,0
A_138,B_205,0
A_836,B_1034,0
A_444,B_880,0
A_717,B_801,0
A_558,B_485,0
A_844,B_819,0
A_109,B_366,0
A_256,B_460,0
A_608,B_695,0
A_674,B_889,0
A_919,B_1004,0
A_577,B_961,0
A_963,B_97,0
A_1038,B_886,0
A_226,B_585,0
A_1011,B_648,0
A_482,B_1071,0
A_152,B_139,0
A_252,B_764,0
A_829,B_719,0
A_184,B_167,0
A_463,B_742,0
A_927,B_934,0
A_530,B_879,0
A_637,B_429,0
A_997,B_544,0
A_489,B_574,0
A_533,B_632,0
A_579,B_971,0
A_784,B_409,0
A_713,B_760,0
A_469,B_554,0
A_771,B_758,0
A_997,B_630,0
A_803,B_693,0
A_568,B_680,0
A_865,B_937,1
A_577,B_607,0
A_555,B_447,0
A_539,B_582,0
A_495,B_631,0
A_295,B_24,0
A_172,B_249,0
A_526,B_237,0
A_764,B_1075,0
A_540,B_954,0
A_965,B_74,0
A_479,B_926,0
A_614,B_724,0
A_657,B_35,0
A_990,B_589,0
A_190,B_35,0
A_326,B_1016,0
A_1076,B_244,0
A_11,B_717,0
A_789,B_516,0
A_935,B_859,0
A_43,B_347,0
A_235,B_772,0
A_741,B_1077,0
A_597,B_289,0
A_985,B_736,0
A_15,B_299,0
A_270,B_345,0
A_813,B_927,0
A_242,B_748,0
A_432,B_101,0
A_850,B_676,0
A_677,B_834,0
A_993,B_655,0
A_554,B_122,0
A_536,B_401,0
A_108,B_123,1
A_881,B_839,0
A_576,B_507,0
A_479,B_936,0
A_573,B_206,0
A_472,B_568,0
A_733,B_742,0
A_108,B_106,0
A_1062,B_986,1
A_1076,B_526,0
A_487,B_844,0
A_1010,B_978,0
A_1039,B_88,0
A_904,B_910,0
A_280,B_633,0
A_994,B_1012,0
A_65,B_72,0
A_181,B_880,0
A_190,B_57,0
A_670,B_822,0
A_660,B_435,0
A_986,B_649,0
A_84,B_748,0
A_965,B_159,0
A_62,B_72,0
A_1069,B_449,0
A_443,B_441,0
A_115,B_569,0
A_615,B_637,0
A_741,B_892,0
A_910,B_401,0
A_413,B_951,0
A_918,B_1010,0
A_788,B_584,0
A_929,B_977,1
A_883,B_926,0
A_370,B_991,0
A_351,B_107,0
A_930,B_1031,0
A_793,B_442,0
A_55,B_102,0
A_843,B_817,0
A_654,B_611,0
A_163,B_336,0
A_1040,B_186,1
A_1076,B_682,0
A_115,B_74,0
A_1071,B_103,1
A_473,B_886,0
A_675,B_892,0
A_289,B_340,0
A_135,B_145,1
A_12,B_62,0
A_541,B_239,0
A_947,B_1058,0
A_296,B_453,0
A_812,B_673,0
A_190,B_300,0
A_803,B_680,0
A_250,B_637,0
A_495,B_948,0
A_450,B_581,0
A_968,B_359,1
A_535,B_35,0
A_439,B_23,0
A_511,B_594,0
A_216,B_374,1
A_180,B_584,0
A_167,B_47,0
A_486,B_511,0
A_656,B_1061,0
A_946,B_1000,0
A_985,B_911,0
A_687,B_844,0
A_902,B_536,0
A_348,B_271,0
A_250,B_626,0
A_406,B_486,0
A_344,B_484,0
A_670,B_823,0
A_104,B_496,0
A_481,B_653,0
A_419,B_395,0
A_844,B_527,0
A_426,B_90,0
A_249,B_321,0
A_708,B_568,0
A_553,B_598,1
A_214,B_3,1
A_534,B_634,0
A_378,B_922,0
A_399,B_159,0
A_868,B_537,0
A_540,B_924,0
A_741,B_983,0
A_522,B_938,0
A_895,B_625,0
A_94,B_232,0
A_985,B_605,0
A_391,B_142,0
A_940,B_152,0
A_807,B_543,0
A_963,B_540,0
A_95,B_88,0
A_488,B_223,0
A_591,B_744,0
A_771,B_716,0
A_852,B_821,0
A_190,B_515,0
A_894,B_601,0
A_386,B_456,0
A_190,B_517,0
A_42,B_800,0
A_850,B_527,0
A_421,B_303,0
A_994,B_910,0
A_167,B_308,0
A_803,B_719,0
A_754,B_596,0
A_789,B_638,0
A_451,B_978,0
A_281,B_183,0
A_1047,B_46,0
A_961,B_100,0
A_974,B_1080,1
A_890,B_409,0
A_277,B_520,1
A_911,B_1016,0
A_536,B_972,0
A_687,B_791,0
A_236,B_772,0
A_960,B_86,0
A_807,B_1058,0
A_918,B_1007,0
A_790,B_629,0
A_256,B_147,0
A_237,B_3,0
A_20,B_124,0
A_548,B_665,0
A_641,B_37,0
A_530,B_664,0
A_1025,B_1,0
A_352,B_59,0
A_736,B_834,0
A_453,B_250,0
A_749,B_634,0
A_564,B_723,0
A_295,B_17,0
A_780,B_11,0
A_615,B_302,0
A_295,B_485,0
A_108,B_203,0
A_351,B_205,1
A_481,B_630,0
A_482,B_542,0
A_675,B_983,0
A_445,B_446,0
A_108,B_107,0
A_577,B_544,0
A_230,B_879,0
A_900,B_629,0
A_99,B_987,0
A_306,B_256,0
A_348,B_551,0
A_863,B_1009,0
A_134,B_1,0
A_203,B_169,0
A_426,B_59,0
A_682,B_983,0
A_977,B_678,0
A_419,B_167,0
A_864,B_388,0
A_439,B_579,1
A_595,B_960,0
A_904,B_932,1
A_447,B_412,1
A_450,B_554,0
A_708,B_650,0
A_566,B_1083,0
A_1076,B_678,0
A_298,B_318,0
A_40,B_902,0
A_721,B_894,1
A_496,B_610,0
A_849,B_667,0
A_476,B_654,0
A_443,B_508,0
A_738,B_835,1
A_663,B_88,0
A_409,B_244,0
A_851,B_677,0
A_665,B_639,0
A_900,B_791,0
A_882,B_727,0
A_813,B_849,0
A_1036,B_1055,1
A_825,B_792,0
A_13,B_58,0
A_685,B_732,1
A_948,B_1058,0
A_618,B_686,0
A_550,B_298,0
A_370,B_541,0
A_203,B_303,0
A_899,B_622,0
A_753,B_842,0
A_551,B_871,0
A_644,B_516,0
A_547,B_924,0
A_533,B_138,0
A_483,B_401,0
A_308,B_346,1
A_713,B_699,0
A_125,B_129,1
A_519,B_938,0
A_15,B_883,0
A_829,B_920,1
A_468,B_603,0
A_760,B_469,1
A_1079,B_22,1
A_489,B_1012,0
A_594,B_515,0
A_170,B_59,0
A_260,B_669,0
A_638,B_900,0
A_617,B_663,0
A_943,B_927,0
A_530,B_594,0
A_802,B_665,0
A_252,B_753,0
A_543,B_21,0
A_203,B_395,0
A_181,B_538,0
A_918,B_1068,0
A_574,B_732,0
A_344,B_439,0
A_625,B_568,0
A_636,B_760,0
A_400,B_639,0
A_544,B_1064,0
A_233,B_672,0
A_994,B_932,0
A_844,B_676,0
A_109,B_99,1
A_877,B_999,0
A_664,B_528,0
A_786,B_311,1
A_670,B_817,0
A_987,B_543,0
A_664,B_140,0
A_659,B_496,0
A_193,B_451,0
A_900,B_846,0
A_622,B_816,0
A_10,B_758,0
A_868,B_536,0
A_261,B_336,1
A_671,B_822,0
A_130,B_436,0
A_485,B_271,0
A_741,B_840,0
A_899,B_624,0
A_946,B_543,0
A_1007,B_251,1
A_664,B_139,0
A_947,B_938,0
A_877,B_695,0
A_737,B_840,0
A_481,B_415,0
A_815,B_704,1
A_559,B_843,0
A_200,B_991,0
A_427,B_302,0
A_279,B_634,0
A_442,B_508,0
A_875,B_1060,0
A_997,B_994,0
A_198,B_963,0
A_959,B_927,1
A_672,B_909,1
A_700,B_78,0
A_550,B_866,0
A_713,B_863,0
A_509,B_763,0
A_985,B_606,0
A_141,B_64,0
A_433,B_101,0
A_1062,B_1007,0
A_644,B_515,0
A_611,B_695,1
A_532,B_982,0
A_470,B_581,0
A_935,B_20,0
A_665,B_635,0
A_626,B_568,0
A_975,B_969,0
A_71,B_346,0
A_782,B_290,0
A_594,B_528,0
A_1009,B_328,0
A_62,B_46,0
A_47,B_257,0
A_400,B_302,0
A_375,B_345,0
A_35,B_207,0
A_1016,B_975,0
A_433,B_85,0
A_1039,B_963,0
A_945,B_941,0
A_960,B_87,0
A_180,B_538,0
A_211,B_321,0
A_1018,B_485,1
A_941,B_661,0
A_483,B_908,0
A_946,B_994,0
A_464,B_580,0
A_495,B_1012,0
A_197,B_433,0
A_263,B_491,0
A_619,B_717,0
A_781,B_748,1
A_657,B_635,0
A_164,B_160,0
A_524,B_922,0
A_711,B_320,0
A_65,B_307,0
A_902,B_654,0
A_474,B_1052,0
A_9,B_50,0
A_631,B_742,0
A_948,B_961,0
A_916,B_1008,0
A_957,B_958,1
A_482,B_586,0
A_894,B_923,1
A_895,B_622,0
A_947,B_662,0
A_21,B_196,1
A_443,B_23,0
A_857,B_606,0
A_395,B_188,1
A_47,B_79,1
A_15,B_460,0
A_87,B_160,0
A_181,B_1012,0
A_483,B_732,0
A_344,B_489,0
A_789,B_632,0
A_409,B_526,0
A_547,B_192,0
A_10,B_139,0
A_1001,B_419,0
A_646,B_1074,0
A_130,B_155,0
A_269,B_340,0
A_969,B_492,0
A_486,B_630,0
A_489,B_543,0
A_359,B_569,0
A_822,B_850,0
A_473,B_887,0
A_857,B_1012,1
A_775,B_759,0
A_930,B_1087,0
A_643,B_632,0
A_615,B_335,0
A_201,B_279,1
A_191,B_460,0
A_596,B_880,0
A_600,B_434,0
A_577,B_606,0
A_700,B_1070,0
A_512,B_192,0
A_250,B_724,0
A_345,B_991,0
A_643,B_301,0
A_388,B_376,0
A_128,B_27,0
A_569,B_695,0
A_464,B_616,0
A_958,B_26,0
A_425,B_465,0
A_715,B_650,0
A_483,B_793,1
A_680,B_1021,0
A_914,B_1006,0
A_685,B_630,0
A_222,B_869,0
A_649,B_667,0
A_978,B_421,0
A_762,B_69,1
A_266,B_349,0
A_142,B_336,0
A_978,B_88,0
A_31,B_643,1
A_94,B_101,0
A_794,B_824,0
A_679,B_720,1
A_309,B_956,1
A_705,B_576,0
A_462,B_8,0
A_489,B_631,0
A_181,B_627,0
A_509,B_879,0
A_163,B_911,0
A_279,B_1075,0
A_78,B_880,0
A_625,B_831,0
A_631,B_567,0
A_986,B_1083,0
A_597,B_833,1
A_612,B_80,0
A_906,B_905,0
A_906,B_538,0
A_427,B_515,0
A_563,B_313,0
A_838,B_818,0
A_564,B_982,1
A_619,B_742,0
A_983,B_601,0
A_37,B_799,0
A_342,B_629,0
A_825,B_791,0
A_660,B_496,0
A_528,B_709,1
A_568,B_696,0
A_595,B_173,0
A_983,B_953,0
A_329,B_635,0
A_866,B_936,0
A_584,B_680,0
A_874,B_535,0
A_796,B_152,0
A_844,B_814,0
A_251,B_415,1
A_650,B_714,0
A_684,B_882,0
A_692,B_784,0
A_359,B_74,0
A_182,B_204,0
A_1061,B_979,0
A_879,B_1076,1
A_65,B_71,0
A_685,B_844,0
A_568,B_971,0
A_480,B_401,0
A_390,B_393,1
A_657,B_636,0
A_533,B_140,0
A_1060,B_152,0
A_905,B_536,0
A_839,B_821,0
A_44,B_351,0
A_764,B_634,0
A_708,B_567,0
A_987,B_607,0
A_848,B_821,0
A_531,B_723,0
A_479,B_627,0
A_145,B_50,0
A_865,B_537,0
A_202,B_464,0
A_1039,B_97,0
A_683,B_893,1
A_273,B_89,0
A_520,B_574,0
A_172,B_105,0
A_486,B_607,0
A_873,B_1063,0
A_1015,B_654,0
A_931,B_857,0
A_280,B_138,0
A_256,B_632,0
A_973,B_678,0
A_865,B_938,0
A_807,B_574,0
A_545,B_887,0
A_827,B_486,0
A_109,B_965,0
A_1011,B_139,0
A_667,B_87,0
A_764,B_637,0
A_480,B_541,0
A_194,B_81,1
A_342,B_584,0
A_963,B_964,0
A_1020,B_489,0
A_1028,B_10,0
A_949,B_1058,0
A_476,B_907,0
A_266,B_347,0
A_802,B_548,0
A_581,B_714,0
A_572,B_686,0
A_993,B_67,0
A_198,B_86,0
A_426,B_447,0
A_894,B_590,0
A_825,B_541,0
A_934,B_857,0
A_511,B_513,0
A_737,B_1021,0
A_825,B_537,0
A_913,B_1002,1
A_722,B_772,0
A_41,B_798,0
A_445,B_414,0
A_469,B_579,0
A_406,B_430,0
A_229,B_327,0
A_45,B_845,0
A_905,B_399,0
A_940,B_960,0
A_869,B_1087,0
A_747,B_938,0
A_77,B_346,0
A_881,B_834,0
A_741,B_889,0
A_233,B_291,1
A_803,B_714,0
A_804,B_667,0
A_733,B_831,0
A_376,B_372,0
A_842,B_818,0
A_610,B_902,0
A_615,B_633,0
A_14,B_300,0
A_170,B_71,0
A_793,B_89,0
A_795,B_823,0
A_716,B_811,0
A_422,B_155,0
A_888,B_978,0
A_879,B_1077,0
A_988,B_909,0
A_407,B_25,0
A_66,B_454,0
A_29,B_43,1
A_595,B_992,0
A_384,B_438,1
A_1078,B_382,1
A_881,B_983,0
A_220,B_314,1
A_110,B_964,0
A_990,B_575,0
A_383,B_951,0
A_130,B_356,0
A_109,B_100,0
A_444,B_582,0
A_489,B_992,0
A_931,B_977,0
A_892,B_1060,0
A_451,B_505,0
A_890,B_540,1
A_593,B_616,0
A_170,B_72,0
A_709,B_839,0
A_857,B_627,0
A_353,B_356,0
A_503,B_560,0
A_445,B_587,0
A_78,B_732,0
A_960,B_98,0
A_470,B_979,0
A_57,B_502,0
A_378,B_687,0
A_483,B_1071,0
A_523,B_941,0
A_372,B_607,0
A_920,B_1004,0
A_423,B_284,0
A_450,B_580,0
A_424,B_751,1
A_948,B_654,0
A_906,B_880,0
A_713,B_734,0
A_962,B_84,0
A_540,B_665,0
A_528,B_664,0
A_616,B_504,0
A_60,B_71,0
A_595,B_528,0
A_462,B_1,0
A_329,B_636,0
A_253,B_926,0
A_837,B_1054,0
A_174,B_183,0
A_654,B_843,0
A_669,B_574,0
A_988,B_732,0
A_577,B_509,0
A_20,B_569,0
A_596,B_584,1
A_529,B_665,0
A_521,B_535,1
A_325,B_201,0
A_933,B_1087,0
A_665,B_517,0
A_295,B_172,0
A_486,B_654,0
A_848,B_823,0
A_659,B_265,0
A_446,B_629,0
A_32,B_299,0
A_1062,B_1008,0
A_350,B_880,0
A_476,B_576,0
A_514,B_548,0
A_840,B_817,0
A_480,B_459,0
A_257,B_764,0
A_197,B_122,0
A_110,B_939,0
A_352,B_71,0
A_768,B_46,0
A_801,B_61,0
A_894,B_665,0
A_386,B_454,0
A_511,B_595,0
A_9,B_301,0
A_181,B_536,0
A_713,B_759,0
A_831,B_924,1
A_985,B_992,0
A_567,B_988,0
A_65,B_74,1
A_901,B_507,0
A_949,B_980,0
A_1031,B_437,0
A_949,B_994,0
A_142,B_629,0
A_619,B_567,0
A_715,B_863,0
A_758,B_447,0
A_949,B_926,0
A_627,B_292,0
A_269,B_347,0
A_552,B_599,1
A_482,B_573,0
A_87,B_72,0
A_287,B_429,0
A_532,B_594,0
A_850,B_824,0
A_644,B_635,1
A_825,B_587,0
A_657,B_626,0
A_256,B_299,0
A_521,B_536,0
A_536,B_576,0
A_865,B_905,0
A_722,B_345,0
A_320,B_396,1
A_100,B_93,0
A_615,B_641,0
A_344,B_11,0
A_134,B_0,0
A_520,B_584,0
A_444,B_587,0
A_868,B_475,0
A_491,B_627,0
A_579,B_686,0
A_736,B_893,0
A_1019,B_172,0
A_631,B_758,0
A_242,B_284,1
A_947,B_732,0
A_671,B_825,0
A_964,B_101,0
A_1080,B_171,0
A_575,B_80,0
A_843,B_821,0
A_531,B_762,0
A_665,B_634,0
A_863,B_1003,0
A_479,B_577,0
A_473,B_831,0
A_926,B_101,0
A_890,B_909,0
A_845,B_818,0
A_614,B_639,0
A_447,B_287,0
A_635,B_686,0
A_60,B_297,0
A_90,B_272,0
A_742,B_774,1
A_20,B_39,0
A_841,B_587,0
A_884,B_986,0
A_211,B_325,0
A_620,B_714,0
A_28,B_59,0
A_115,B_307,0
A_232,B_184,1
A_514,B_549,0
A_902,B_507,0
A_357,B_432,1
A_26,B_912,0
A_806,B_470,0
A_5,B_191,1
A_1005,B_613,0
A_479,B_446,0
A_561,B_831,0
A_841,B_654,0
A_521,B_936,0
A_433,B_98,0
A_480,B_908,0
A_569,B_658,0
A_520,B_937,0
A_947,B_991,0
A_416,B_395,0
A_945,B_953,0
A_718,B_799,0
A_692,B_789,0
A_370,B_535,0
A_960,B_97,0
A_496,B_561,0
A_32,B_139,0
A_1074,B_624,0
A_455,B_980,0
A_250,B_301,0
A_594,B_300,0
A_636,B_717,0
A_487,B_631,0
A_850,B_814,0
A_798,B_66,0
A_963,B_968,0
A_20,B_48,0
A_614,B_636,0
A_749,B_638,1
A_757,B_940,0
A_720,B_1079,0
A_569,B_663,0
A_520,B_880,0
A_482,B_443,0
A_630,B_760,0
A_967,B_1040,0
A_299,B_423,1
A_355,B_845,0
A_671,B_821,0
A_176,B_59,0
A_974,B_969,0
A_846,B_817,0
A_619,B_887,0
A_670,B_827,0
A_610,B_722,0
A_817,B_429,0
A_477,B_844,1
A_500,B_878,0
A_466,B_580,0
A_110,B_366,0
A_675,B_893,0
A_631,B_692,0
A_982,B_1067,0
A_728,B_72,0
A_919,B_1068,0
A_686,B_1060,0
A_267,B_348,1
A_370,B_173,0
