ltable_id,rtable_id,label
A_2082,B_1496,0
A_982,B_2999,1
A_3715,B_2562,0
A_3246,B_284,0
A_1931,B_810,1
A_704,B_411,0
A_1880,B_872,0
A_3325,B_2266,0
A_2047,B_1103,0
A_2718,B_2787,0
A_141,B_2672,0
A_4138,B_823,0
A_190,B_805,1
A_2277,B_1255,0
A_4162,B_2313,0
A_1850,B_742,1
A_2909,B_1529,1
A_3963,B_1026,0
A_2480,B_558,0
A_1185,B_2991,0
A_2433,B_2722,0
A_2175,B_996,1
A_1466,B_972,0
A_178,B_838,0
A_732,B_621,0
A_2423,B_881,0
A_1857,B_1860,0
A_3388,B_99,0
A_2125,B_22,0
A_3605,B_521,0
A_2272,B_64,0
A_492,B_1661,0
A_4200,B_469,0
A_4101,B_2360,1
A_285,B_623,0
A_2602,B_1255,0
A_890,B_2580,1
A_2689,B_1373,1
A_1672,B_590,1
A_3126,B_461,0
A_1755,B_2883,0
A_354,B_22,0
A_2086,B_490,0
A_2089,B_1038,0
A_2423,B_1934,0
A_2156,B_1889,0
A_2365,B_469,0
A_3210,B_1737,1
A_4286,B_2362,1
A_773,B_22,0
A_3758,B_2120,1
A_1587,B_1911,0
A_487,B_646,0
A_1587,B_1534,0
A_1898,B_2085,0
A_1755,B_1551,0
A_2401,B_179,0
A_184,B_1534,0
A_2602,B_1955,0
A_3417,B_1983,0
A_1118,B_2812,0
A_9,B_2883,0
A_3813,B_22,0
A_1587,B_1496,0
A_1621,B_1853,0
A_486,B_2883,0
A_1524,B_284,0
A_890,B_615,0
A_3248,B_1298,0
A_736,B_316,0
A_4003,B_2284,1
A_4088,B_2351,1
A_285,B_90,0
A_138,B_1635,0
A_3325,B_1973,0
A_2209,B_2728,0
A_2026,B_1911,0
A_2606,B_1320,1
A_1460,B_412,1
A_138,B_646,0
A_1281,B_704,0
A_2362,B_1136,1
A_3963,B_2334,0
A_178,B_1103,0
A_3813,B_1026,0
A_2082,B_1638,0
A_1458,B_1414,0
A_1207,B_1604,0
A_1219,B_2463,0
A_1725,B_419,0
A_138,B_90,0
A_2491,B_1260,0
A_285,B_1026,0
A_1661,B_351,0
A_2480,B_2621,0
A_1898,B_1408,0
A_1436,B_1069,0
A_285,B_1534,0
A_487,B_1414,0
A_44,B_1119,0
A_386,B_2204,1
A_167,B_635,0
A_2992,B_1590,1
A_3963,B_1863,0
A_1458,B_646,0
A_2082,B_1103,0
A_1207,B_558,0
A_1433,B_1261,0
A_1456,B_409,1
A_3963,B_1551,0
A_4329,B_2416,0
A_491,B_1120,0
A_3325,B_63,0
A_34,B_2048,0
A_2399,B_144,0
A_3802,B_2149,1
A_3246,B_1682,0
A_2047,B_63,0
A_2433,B_1534,0
A_9,B_881,0
A_2972,B_2883,0
A_2089,B_845,0
A_3800,B_2146,1
A_1648,B_571,1
A_2423,B_465,0
A_260,B_1174,0
A_2319,B_980,0
A_833,B_641,0
A_3325,B_1119,0
A_3126,B_1934,0
A_120,B_213,1
A_3325,B_1103,0
A_1926,B_2048,0
A_1433,B_418,0
A_3852,B_2875,0
A_29,B_1026,0
A_2423,B_1519,0
A_2960,B_287,0
A_2602,B_730,0
A_3185,B_2266,0
A_4117,B_22,0
A_2433,B_1103,0
A_1289,B_2622,0
A_429,B_2636,0
A_1458,B_1496,0
A_1621,B_12,0
A_3661,B_2672,0
A_1647,B_2409,0
A_3035,B_1620,1
A_1914,B_793,1
A_2463,B_1206,1
A_3185,B_1661,0
A_3632,B_1275,0
A_2289,B_1085,1
A_2724,B_1886,0
A_1458,B_1551,0
A_1501,B_2750,0
A_284,B_2517,0
A_487,B_1635,0
A_3963,B_124,0
A_2934,B_1103,0
A_2433,B_349,0
A_2506,B_1242,1
A_1815,B_2654,0
A_3626,B_2728,0
A_1524,B_1682,0
A_1794,B_881,0
A_3090,B_461,0
A_2780,B_1594,0
A_2433,B_1496,0
A_1178,B_1889,0
A_3842,B_1281,0
A_1219,B_730,0
A_2724,B_1221,0
A_3134,B_641,0
A_4256,B_730,0
A_1218,B_2618,0
A_589,B_1586,0
A_295,B_980,0
A_44,B_1889,0
A_4030,B_2508,0
A_403,B_2582,0
A_2480,B_1604,0
A_3478,B_1119,0
A_833,B_22,0
A_4157,B_2405,1
A_44,B_1534,0
A_178,B_1534,0
A_42,B_1025,0
A_2934,B_1911,0
A_141,B_2991,0
A_3130,B_1255,0
A_543,B_2232,0
A_138,B_1255,0
A_1157,B_155,1
A_486,B_1551,0
A_1458,B_1679,0
A_2960,B_1275,0
A_4256,B_2491,0
A_2770,B_1428,0
A_3381,B_2275,0
A_4083,B_2424,0
A_3842,B_2546,0
A_2026,B_2582,0
A_295,B_1255,0
A_696,B_22,0
A_487,B_621,0
A_3715,B_216,0
A_3992,B_1681,0
A_1375,B_2610,0
A_294,B_1586,1
A_4237,B_2466,1
A_781,B_2835,1
A_1178,B_1414,0
A_1226,B_1911,0
A_2480,B_2602,0
A_99,B_1698,0
A_2722,B_1393,1
A_1794,B_1973,0
A_2925,B_2208,0
A_3813,B_2583,0
A_654,B_1892,0
A_3445,B_369,0
A_512,B_1356,0
A_2979,B_216,0
A_3478,B_1934,0
A_3402,B_1496,0
A_486,B_1106,0
A_480,B_2576,1
A_61,B_2710,1
A_3626,B_641,0
A_1664,B_1348,0
A_3478,B_1096,0
A_418,B_2441,1
A_1604,B_213,0
A_2272,B_980,0
A_1599,B_2975,0
A_99,B_2139,0
A_138,B_1638,0
A_1725,B_1376,0
A_906,B_419,0
A_184,B_1428,0
A_613,B_2429,0
A_4329,B_2314,0
A_4304,B_2429,0
A_4216,B_730,0
A_2811,B_838,0
A_171,B_1026,0
A_1515,B_716,0
A_1022,B_2839,0
A_491,B_1638,0
A_492,B_2991,0
A_2526,B_411,0
A_1857,B_545,0
A_3246,B_2019,0
A_4200,B_1825,0
A_3079,B_1650,1
A_2156,B_124,0
A_9,B_2728,0
A_1178,B_698,0
A_655,B_90,0
A_1755,B_1661,0
A_2156,B_1255,0
A_3251,B_997,0
A_1725,B_2244,0
A_252,B_2975,0
A_3963,B_64,0
A_1649,B_2313,0
A_1219,B_2470,0
A_492,B_1635,0
A_3917,B_2224,1
A_2155,B_2948,0
A_271,B_1410,1
A_3309,B_716,0
A_1024,B_37,0
A_1780,B_685,1
A_1479,B_1563,0
A_2026,B_1679,0
A_2155,B_1261,0
A_525,B_433,0
A_3,B_641,0
A_4068,B_2374,0
A_4203,B_2425,0
A_2572,B_221,0
A_309,B_2621,0
A_309,B_418,0
A_200,B_559,0
A_3963,B_63,0
A_2633,B_2143,0
A_2558,B_1284,1
A_1218,B_2463,0
A_285,B_411,0
A_184,B_1889,0
A_1178,B_1255,0
A_501,B_216,0
A_29,B_2883,0
A_184,B_1255,0
A_563,B_1177,1
A_507,B_716,0
A_1755,B_1635,0
A_1904,B_2681,0
A_3402,B_1889,0
A_1251,B_812,0
A_113,B_475,0
A_2596,B_2124,0
A_406,B_2071,0
A_1900,B_333,0
A_4181,B_2300,0
A_982,B_348,0
A_1621,B_548,1
A_184,B_1679,0
A_487,B_1519,0
A_4168,B_2381,0
A_3963,B_980,0
A_2007,B_203,1
A_1218,B_1445,0
A_833,B_2728,0
A_3842,B_1853,0
A_1030,B_679,0
A_2444,B_1348,0
A_29,B_2582,0
A_76,B_2831,0
A_3626,B_646,0
A_525,B_2972,0
A_2215,B_1120,0
A_2494,B_2565,0
A_1042,B_55,1
A_1661,B_1163,0
A_1621,B_2601,0
A_2026,B_1496,0
A_4027,B_2510,0
A_3130,B_1414,0
A_3959,B_447,0
A_3626,B_90,0
A_2316,B_838,0
A_3381,B_1859,1
A_4256,B_1825,0
A_3956,B_2249,0
A_285,B_1551,0
A_2115,B_2673,0
A_3185,B_1551,0
A_3098,B_1638,0
A_4117,B_838,0
A_1842,B_737,1
A_3079,B_2048,0
A_652,B_1534,0
A_1661,B_1428,0
A_3372,B_1281,0
A_2156,B_1973,0
A_262,B_419,0
A_696,B_1496,0
A_1471,B_1165,0
A_2972,B_218,0
A_3,B_439,0
A_2115,B_77,0
A_4063,B_2331,1
A_4161,B_2409,1
A_862,B_2906,1
A_2242,B_1048,1
A_496,B_1535,0
A_2915,B_77,0
A_319,B_692,0
A_3170,B_602,0
A_252,B_1073,0
A_2246,B_2249,0
A_3622,B_2020,1
A_1524,B_1445,0
A_138,B_1496,0
A_492,B_461,0
A_1004,B_20,1
A_732,B_1414,0
A_928,B_2275,0
A_2934,B_980,0
A_2934,B_2582,0
A_1522,B_467,1
A_3748,B_1626,0
A_2930,B_628,0
A_1725,B_447,0
A_3963,B_623,0
A_2125,B_1534,0
A_3661,B_1090,0
A_1237,B_1862,0
A_519,B_2070,0
A_3251,B_572,0
A_3593,B_2636,0
A_3963,B_1120,0
A_2491,B_1230,1
A_674,B_2615,0
A_2614,B_2627,0
A_833,B_90,0
A_1880,B_2948,0
A_1322,B_1308,0
A_1748,B_652,1
A_2423,B_1414,0
A_1743,B_2334,0
A_429,B_2805,0
A_1743,B_600,0
A_3402,B_1096,0
A_2751,B_2550,0
A_2975,B_2899,0
A_4173,B_2425,0
A_2700,B_1380,1
A_354,B_1661,0
A_3126,B_1889,0
A_3468,B_1921,1
A_655,B_1661,0
A_3388,B_838,0
A_1249,B_583,0
A_354,B_698,0
A_99,B_90,0
A_2614,B_1645,0
A_287,B_2581,0
A_4050,B_2517,0
A_4104,B_2416,0
A_732,B_461,0
A_977,B_1601,0
A_4323,B_2378,0
A_3533,B_1962,0
A_1474,B_427,1
A_4083,B_2378,0
A_1030,B_43,1
A_487,B_2582,0
A_704,B_124,0
A_3372,B_2546,0
A_1972,B_2091,0
A_925,B_2564,0
A_113,B_2975,0
A_3073,B_1647,1
A_1394,B_358,1
A_3652,B_1911,0
A_4152,B_2463,0
A_2423,B_22,0
A_4162,B_2936,0
A_1060,B_1230,0
A_2163,B_985,1
A_167,B_1367,0
A_2320,B_524,0
A_2764,B_1423,1
A_3246,B_709,0
A_3818,B_1535,0
A_128,B_1230,0
A_1491,B_865,0
A_2777,B_1166,0
A_2423,B_2618,0
A_355,B_373,0
A_2867,B_1493,1
A_1713,B_549,0
A_4336,B_2510,0
A_3185,B_411,0
A_1042,B_1403,0
