ltable_id,rtable_id,label
A_1756,B_1418,0
A_217,B_2135,0
A_2476,B_1309,0
A_610,B_1595,1
A_2183,B_1630,0
A_2580,B_616,1
A_420,B_1866,0
A_1541,B_747,0
A_1278,B_1799,0
A_1832,B_910,0
A_2232,B_1122,0
A_1061,B_1284,1
A_1496,B_658,0
A_1491,B_1179,0
A_1459,B_1317,1
A_2061,B_1072,0
A_2463,B_1546,1
A_198,B_1213,0
A_267,B_1631,0
A_516,B_735,1
A_1021,B_225,0
A_1938,B_73,1
A_1466,B_990,0
A_1118,B_1915,0
A_2038,B_895,1
A_162,B_1511,0
A_624,B_920,1
A_2227,B_2091,1
A_575,B_650,0
A_39,B_323,0
A_2224,B_1051,0
A_1610,B_1915,0
A_1798,B_493,0
A_373,B_2239,0
A_164,B_1467,1
A_1143,B_1812,0
A_2081,B_1419,1
A_924,B_1026,0
A_1189,B_1969,1
A_331,B_1701,1
A_2031,B_1408,0
A_1496,B_1831,0
A_135,B_1441,0
A_1656,B_910,0
A_1475,B_1909,0
A_1690,B_1640,0
A_424,B_1813,1
A_2562,B_1409,0
A_1086,B_342,0
A_2313,B_1042,0
A_817,B_256,0
A_385,B_304,0
A_1645,B_927,0
A_774,B_826,1
A_1717,B_220,0
A_1228,B_1083,0
A_644,B_1479,0
A_1160,B_526,0
A_2601,B_226,0
A_2416,B_976,1
A_2037,B_817,0
A_441,B_1363,1
A_644,B_1254,0
A_2185,B_1946,0
A_107,B_1334,0
A_2414,B_2045,0
A_229,B_1609,0
A_1985,B_1630,0
A_688,B_1938,0
A_175,B_680,0
A_341,B_822,0
A_1530,B_26,0
A_1511,B_220,0
A_690,B_1906,0
A_1927,B_1408,0
A_2162,B_1225,0
A_1115,B_1425,1
A_1380,B_745,0
A_507,B_1063,0
A_1829,B_1915,0
A_289,B_1898,0
A_20,B_465,0
A_387,B_650,0
A_1118,B_1159,0
A_1251,B_403,0
A_356,B_1894,0
A_21,B_306,0
A_1866,B_1854,0
A_557,B_2055,0
A_2364,B_1883,0
A_1106,B_929,0
A_942,B_2133,0
A_1972,B_1945,0
A_598,B_1873,0
A_1274,B_950,0
A_821,B_94,0
A_420,B_152,0
A_2371,B_2101,0
A_2562,B_2119,0
A_1777,B_1599,0
A_692,B_1648,0
A_507,B_443,0
A_1034,B_1958,0
A_1985,B_1236,0
A_1692,B_638,0
A_2309,B_2179,1
A_661,B_1044,0
A_1829,B_879,0
A_1049,B_242,1
A_156,B_480,0
A_690,B_1046,0
A_2125,B_883,0
A_2386,B_1073,0
A_1232,B_242,0
A_1721,B_2049,0
A_387,B_334,0
A_665,B_2019,0
A_1469,B_2154,0
A_40,B_1558,1
A_2386,B_1848,0
A_1103,B_480,0
A_2601,B_526,0
A_1610,B_919,0
A_289,B_2250,0
A_1792,B_938,1
A_1328,B_517,1
A_2546,B_1909,0
A_1439,B_2247,0
A_575,B_927,0
A_1910,B_2016,0
A_201,B_342,0
A_703,B_2227,0
A_267,B_1648,0
A_22,B_189,0
A_972,B_1459,0
A_1450,B_1454,0
A_11,B_1898,0
A_2302,B_1317,0
A_413,B_1129,1
A_2091,B_562,0
A_334,B_816,0
A_1624,B_232,0
