,title,authors,venue,year
A_0,semantic integration of environmental models for application to global information systems and decision-making,d. scott mackay,sigmod record,1999
A_1,estimation of query-result distribution and its application in parallel-join load balancing,"viswanath poosala , yannis e. ioannidis",vldb,1996
A_2,incremental maintenance for non-distributive aggregate functions,"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane",vldb,2002
A_3,cost-based selection of path expression processing algorithms in object-oriented databases,"zhao-hui tang , georges gardarin , jean-robert gruser",vldb,1996
A_4,benchmarking spatial join operations with spatial output,"erik g. hoel , hanan samet",vldb,1995
A_5,efficient geometry-based similarity search of 3d spatial databases,daniel a. keim,sigmod conference,1999
A_6,mining the world wide web : an information search approach - book review,aris m. ouksel,sigmod record,2002
A_7,enhanced abstract data types in object-relational databases,praveen seshadri,vldb j.,1998
A_8,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),"nandit soparkar , krithi ramamritham",sigmod record,1997
A_9,unisql 's next-generation object-relational database management system,"phil janus , albert d'andrea",sigmod record,1996
A_10,dual-buffering strategies in object bases,"alfons kemper , donald kossmann",vldb,1994
A_11,aurora : a data stream management system,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",sigmod conference,2003
A_12,priority assignment in real-time active databases,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996
A_13,wavecluster : a wavelet based clustering approach for spatial data in very large databases,"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang",vldb j.,2000
A_14,approximate query mapping : accounting for translation closeness,"hector garcia-molina , kevin chen-chuan chang",vldb j.,2001
A_15,sprint : a scalable parallel classifier for data mining,"john c. shafer , rakesh agrawal , manish mehta",vldb,1996
A_16,snowball : a prototype system for extracting relations from large text collections,"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova",sigmod conference,2001
A_17,a framework for implementing hypothetical queries,"timothy griffin , richard hull",sigmod conference,1997
A_18,parametric query optimization,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",vldb j.,1997
A_19,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",vldb,2001
