ltable_id,rtable_id,label
A_1409,B_51560,0
A_1289,B_34035,0
A_2666,B_35475,1
A_1157,B_27989,0
A_3332,B_7412,0
A_1303,B_34060,0
A_1155,B_9941,0
A_4733,B_43755,0
A_3949,B_38669,0
A_2477,B_1222,0
A_4056,B_40142,0
A_1551,B_41574,0
A_2020,B_28191,0
A_1405,B_55640,0
A_380,B_33288,0
A_1545,B_41588,0
A_4236,B_27814,0
A_4734,B_31604,0
A_1236,B_50715,0
A_4823,B_20588,1
A_1168,B_34894,0
A_1202,B_28013,0
A_210,B_19800,0
A_3376,B_7414,1
A_5712,B_35057,1
A_303,B_22290,0
A_3346,B_37611,0
A_6764,B_51438,1
A_2021,B_28403,0
A_1084,B_9523,0
A_1204,B_28025,0
A_1828,B_15256,0
A_5147,B_43656,0
A_2694,B_17169,0
A_592,B_43689,1
A_2479,B_33786,1
A_1542,B_41590,0
A_5001,B_3099,1
A_2021,B_28279,0
A_6290,B_47840,0
A_1193,B_28006,0
A_801,B_29543,0
A_6234,B_13713,1
A_3349,B_7362,0
A_3549,B_19057,0
A_1625,B_27515,0
A_2749,B_17161,1
A_5409,B_20551,0
A_1148,B_7757,1
A_1262,B_34894,0
A_1309,B_34898,0
A_5071,B_34920,0
A_317,B_22283,0
A_467,B_362,1
A_6458,B_18807,1
A_2841,B_52852,0
A_5085,B_40496,0
A_1183,B_34915,0
A_2742,B_17206,0
A_2459,B_10377,0
A_3573,B_53964,0
A_1344,B_10527,0
A_6218,B_29583,1
A_1159,B_28024,0
A_3360,B_17651,0
A_1317,B_34002,0
A_1151,B_53282,1
A_1579,B_41572,0
A_252,B_52996,0
A_2399,B_29849,1
A_1260,B_34919,0
A_4980,B_20081,0
A_1489,B_3898,1
A_5079,B_40453,0
A_1193,B_27999,0
A_2987,B_37085,0
A_2809,B_28356,0
A_3093,B_22994,1
A_1278,B_34912,0
A_1343,B_6231,0
A_508,B_55899,1
A_6624,B_800,0
A_4761,B_6229,0
A_642,B_24635,1
A_254,B_49104,1
A_4730,B_17350,0
A_6857,B_39318,1
A_4426,B_43699,0
A_1312,B_28022,0
A_5707,B_37649,0
A_5806,B_6499,1
A_1447,B_41580,0
A_330,B_22285,0
A_1273,B_31286,0
A_4047,B_37547,0
A_1233,B_21564,0
A_2845,B_52867,1
A_205,B_41179,1
A_6430,B_31068,0
A_3259,B_4536,0
A_1655,B_49479,1
A_1264,B_28000,0
A_3944,B_18970,1
A_1312,B_28005,0
